Name,Platform,Genre
SOCOM II: U.S. Navy SEALs,PS2,Shooter
WWE SmackDown! vs. RAW 2006,PS2,Fighting
inFAMOUS,PS3,Action
Pac-Man Collection,GBA,Puzzle
Mass Effect,X360,Role-Playing
WarioWare: Smooth Moves,Wii,Puzzle
Cooking Mama: Cook Off,Wii,Simulation
Super Mario World 2: Yoshi's Island,GBA,Platform
FIFA 14,PS4,Sports
Titanfall,XOne,Shooter
Sonic Mega Collection Plus,PS2,Misc
Sega Superstars Tennis,X360,Sports
World Soccer Winning Eleven 7 International,PS2,Sports
Need for Speed: Most Wanted,PS3,Racing
Hot Shots Golf 3,PS2,Sports
Call of Duty: Finest Hour,PS2,Shooter
Zumba Fitness 2,Wii,Sports
Syphon Filter,PS,Shooter
Imagine: Babyz,DS,Simulation
Colin McRae Rally,PS,Racing
Call of Duty: Ghosts,XOne,Shooter
Madden NFL 13,X360,Sports
The Elder Scrolls III: Morrowind,XB,Role-Playing
Mortal Kombat,PS3,Fighting
F-Zero,SNES,Racing
Yoshi's Story,N64,Platform
Command & Conquer: Red Alert,PC,Strategy
Skylanders: Spyro's Adventure,Wii,Action
FIFA 16,PS3,Sports
Assassin's Creed: Brotherhood,PS3,Action
BioShock,X360,Shooter
Madden NFL 10,X360,Sports
Medal of Honor,PS3,Shooter
WWE SmackDown! vs. Raw,PS2,Fighting
Metroid Prime,GC,Shooter
Finding Nemo,GBA,Action
Myst,PC,Adventure
Need for Speed: Hot Pursuit,PS3,Racing
Imagine: Fashion Designer,DS,Simulation
WWE SmackDown! Here Comes the Pain,PS2,Fighting
Star Wars: The Force Unleashed,X360,Action
Yoshi's Island DS,DS,Platform
Hot Shots Golf,PS,Sports
Killzone 3,PS3,Shooter
A Bug's Life,PS,Platform
WWF SmackDown! Just Bring It,PS2,Fighting
Dragon Quest V: Tenkuu no Hanayome,SNES,Role-Playing
Mortal Kombat Trilogy,PS,Fighting
Battlefield 3,PC,Shooter
NBA Street,PS2,Sports
Professor Layton and the Last Specter,DS,Puzzle
Monster Hunter Tri,3DS,Role-Playing
Jak II,PS2,Platform
inFAMOUS: Second Son,PS4,Action
Ratchet & Clank: Going Commando,PS2,Platform
Tekken 6,PS3,Fighting
The Sims,PS2,Simulation
Sonic and the Secret Rings,Wii,Platform
Saints Row: The Third,X360,Action
Missile Command,2600,Shooter
Mario Paint,SNES,Misc
Assassin's Creed IV: Black Flag,PS4,Action
Pokémon Stadium 2,N64,Strategy
Metroid,NES,Action
L.A. Noire,X360,Adventure
Call of Duty 3,X360,Shooter
The Legend of Zelda: A Link to the Past,GBA,Action
Onimusha: Warlords,PS2,Action
Mortal Kombat X,PS4,Fighting
Mario Party,N64,Misc
Madden NFL 12,X360,Sports
LEGO Star Wars II: The Original Trilogy,PS2,Action
Madden NFL 11,X360,Sports
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Puzzle
Skate 3,X360,Sports
Burnout 3: Takedown,PS2,Racing
Yokai Watch 2 Shinuchi,3DS,Role-Playing
Need for Speed: Shift,PS3,Racing
Final Fantasy XIII-2,PS3,Role-Playing
Mortal Kombat,GEN,Fighting
Call Of Duty 2: Big Red One,PS2,Shooter
Guitar Hero: World Tour,X360,Misc
Medal of Honor,PS,Shooter
Fable,XB,Role-Playing
Hannah Montana,DS,Action
